star_id,hostname,sy_tmag,st_teff,st_rad,st_mass,st_reflink,provenance
0,WASP-47,11.936,5576,1.11133,0.984,TIC 8.1,1
1,TOI-5143*,11.2668,5296,0.854,0.91,TIC 8.1,4
2,Kepler-730,15.782,5638,1.37525,1.047,TIC 8.1,1
3,WASP-132,11.11,4775,0.7898,0.76,TIC 8.1,1
4,TOI-1130,11.595,4250,0.687,0.66,TIC 8.1,1
5,TOI-2494*,10.7202,5376,0.9,0.932,TIC 8.1,2
23,WASP-84,10.0471,5238,0.836592,0.894,TIC 8.2,5
6,TOI-2000,10.3579,5547,1.18,0.98,TIC 8.1,2
7,TOI-5398*,9.58055,6017,1.05,1.11,TIC 8.1,4
8,Kepler-487*,14.882,5462,0.915391,0.95,TIC 8.1,1
9,KOI-94,12.314,6184,1.42864,1.183,TIC 8.1,1
10,V1298 Tau,9.49,5159,1.27,0.873,TIC 8.1,1
11,TOI-1692*,10.741,6554,1.45796,1.357,TIC 8.1,4
12,Kepler-46,15.312,5071,0.83867,0.85,TIC 8.1,1
13,TOI-216,12.324,5025,0.8,0.84,TIC 8.1,1
14,NGTS-11*,11.6235,5076,0.83,0.85,TIC 8.1,4
15,TOI-1670*,9.4682,6345,1.31,1.258,TIC 8.1,1
16,K2-290,10.3985,6207,1.54437,1.19,TIC 8.1,1
17,TOI-2525,13.4006,4944,0.82,0.81,TIC 8.1,4
18,Kepler-117,14.282,6100,1.66,1.15,TIC 8.1,1
19,Kepler-148,15.398,5019,0.850564,0.83,TIC 8.1,1
20,TOI-201*,8.58,6462,1.33,1.31,TIC 8.1,4
21,Kepler-30,15.726,5006,1.0122,0.83,TIC 8.1,1
22,Kepler-418,14.824,5895,1.08957,1.07,TIC 8.1,1
