HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457416.85322,2016-01-29.3527810,bg,1.44,15.052,11.024,0.007,149.467,0.950,V
2457431.78505,2016-02-13.2840906,bg,1.44,15.075,11.020,0.006,149.941,0.869,V
2457437.65730,2016-02-19.1561574,bh,1.39,15.112,11.030,0.006,148.636,0.887,V
2457437.65860,2016-02-19.1574479,bh,1.39,15.118,11.056,0.006,145.054,0.848,V
2457437.65990,2016-02-19.1587657,bh,1.38,15.101,11.030,0.006,148.467,0.832,V
2457439.59963,2016-02-21.0984168,bh,1.44,15.065,11.028,0.006,148.917,0.813,V
2457439.60090,2016-02-21.0996945,bh,1.38,15.076,11.027,0.006,149.000,0.850,V
2457439.60219,2016-02-21.1009850,bh,1.45,15.074,11.033,0.006,148.080,0.798,V
2457441.82916,2016-02-23.3278895,bg,1.42,14.840,11.022,0.007,149.567,1.014,V
2457441.83045,2016-02-23.3291732,bg,1.45,14.835,11.038,0.009,147.447,1.121,V
2457441.83174,2016-02-23.3304612,bg,1.41,14.719,10.963,0.012,157.986,1.769,V
2457442.82031,2016-02-24.3190114,bg,1.48,14.945,11.043,0.008,146.912,1.013,V
2457442.82161,2016-02-24.3203013,bg,1.54,14.928,11.024,0.008,149.394,1.082,V
2457446.59767,2016-02-28.0962607,bh,1.35,15.124,11.034,0.006,148.055,0.818,V
2457446.59896,2016-02-28.0975481,bh,1.45,15.127,11.038,0.006,147.551,0.772,V
2457446.60025,2016-02-28.0988358,bh,1.38,15.133,11.038,0.006,147.549,0.791,V
2457446.81083,2016-02-28.3094089,bg,1.53,15.034,11.012,0.006,151.036,0.872,V
2457447.80227,2016-02-29.3008266,bh,1.37,15.092,11.029,0.006,148.629,0.844,V
2457447.80356,2016-02-29.3021138,bh,1.32,15.090,11.033,0.006,148.217,0.885,V
2457447.80484,2016-02-29.3033980,bh,1.36,15.097,11.033,0.006,148.154,0.842,V
2457447.80616,2016-02-29.3047090,bg,1.39,15.032,11.022,0.006,149.735,0.877,V
2457447.80743,2016-02-29.3059887,bg,1.38,15.056,11.041,0.007,147.052,0.970,V
2457447.80871,2016-02-29.3072657,bg,1.45,15.041,11.033,0.007,148.231,0.933,V
2457448.62787,2016-03-01.1264013,bh,1.42,15.131,11.024,0.006,149.378,0.811,V
2457448.62917,2016-03-01.1277006,bh,1.38,15.131,11.037,0.006,147.709,0.835,V
2457448.63047,2016-03-01.1290019,bh,1.39,15.127,11.029,0.006,148.712,0.767,V
2457448.71935,2016-03-01.2178762,bg,1.38,15.091,11.033,0.007,148.085,0.934,V
2457448.72062,2016-03-01.2191495,bg,1.43,15.109,11.042,0.007,146.854,0.942,V
2457451.66162,2016-03-04.1600770,bg,2.04,15.042,11.022,0.007,149.589,0.995,V
2457453.80553,2016-03-06.3039248,bh,1.40,15.099,11.028,0.006,148.877,0.883,V
2457453.80681,2016-03-06.3052140,bh,1.37,15.097,11.030,0.006,148.505,0.872,V
2457453.80811,2016-03-06.3065125,bh,1.39,15.116,11.066,0.006,143.710,0.841,V
2457456.54299,2016-03-09.0413214,bh,1.39,15.106,11.027,0.006,149.072,0.863,V
2457456.54430,2016-03-09.0426331,bh,1.35,15.107,11.042,0.006,146.965,0.862,V
2457456.54558,2016-03-09.0439165,bh,1.39,15.102,11.032,0.006,148.204,0.843,V
2457457.50534,2016-03-10.0036531,bg,1.46,15.020,11.015,0.007,150.663,0.966,V
2457461.75269,2016-03-14.2509092,bh,1.35,15.096,11.050,0.006,145.785,0.851,V
2457461.75397,2016-03-14.2521942,bh,1.36,15.093,11.035,0.007,147.976,0.931,V
2457461.75525,2016-03-14.2534729,bh,1.35,15.080,11.038,0.006,147.475,0.786,V
2457463.56107,2016-03-16.0592542,bh,1.55,15.090,11.036,0.006,147.765,0.877,V
2457463.56236,2016-03-16.0605457,bh,1.63,15.090,11.033,0.006,148.063,0.905,V
2457463.56366,2016-03-16.0618443,bh,1.69,15.085,11.040,0.006,147.202,0.811,V
2457464.59320,2016-03-17.0913662,bh,1.44,14.871,11.023,0.007,149.469,0.981,V
2457464.59449,2016-03-17.0926570,bh,1.48,14.823,11.035,0.008,147.831,0.992,V
2457464.59579,2016-03-17.0939518,bh,1.48,14.835,11.028,0.008,148.754,1.053,V
2457465.75615,2016-03-18.2542906,bh,1.49,15.105,11.060,0.006,144.429,0.867,V
2457465.75743,2016-03-18.2555789,bh,1.44,15.108,11.062,0.007,144.189,0.945,V
2457465.75872,2016-03-18.2568641,bh,1.38,15.104,11.048,0.006,146.103,0.834,V
2457466.73092,2016-03-19.2290521,bg,1.44,99.990,99.990,99.990,99.990,99.990,V
