#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	Width_T1	Sky/Pixel_T1	AIRMASS	EXPTIME
2459255.980346	0.994972	0.001116	15.323563	19.373182	1.392324	29.976000
2459255.981878	1.002801	0.001045	11.535994	15.302150	1.387933	29.976000
2459255.983397	1.004380	0.001049	12.790320	15.547044	1.383667	29.972000
2459255.984914	1.006025	0.001054	12.572493	15.866800	1.379476	29.972000
2459255.986431	1.004206	0.001045	11.599984	15.431446	1.375335	29.972000
2459255.987948	1.002712	0.001040	11.709595	15.802705	1.371275	29.976000
2459255.989466	0.997302	0.001040	12.325458	15.683066	1.367284	29.976000
2459255.990986	1.000032	0.001045	13.051586	15.878041	1.363335	29.976000
2459255.992506	1.000890	0.001040	12.254231	16.184730	1.359470	29.976000
2459255.994022	1.000321	0.001040	12.427911	15.395333	1.355678	29.976000
2459255.995572	1.001396	0.001036	11.472316	15.412924	1.351858	29.976000
2459255.997094	1.002246	0.001036	11.258135	15.015906	1.348176	29.976000
2459255.998610	0.999165	0.001031	10.713267	15.441537	1.344568	29.976000
2459256.000129	1.001810	0.001036	11.379004	14.833211	1.341031	29.976000
2459256.001660	1.001072	0.001036	11.797136	15.621677	1.337523	29.972000
2459256.003178	0.999774	0.001036	11.826451	16.015669	1.334091	29.976000
2459256.004698	1.002659	0.001036	11.371727	14.940890	1.330735	29.976000
2459256.006218	0.999462	0.001027	10.448404	15.226992	1.327432	29.976000
2459256.007742	1.002241	0.001031	11.199978	15.697011	1.324186	29.976000
2459256.009255	0.999711	0.001027	10.727155	15.055506	1.321014	29.976000
2459256.010770	1.003859	0.001031	10.324446	14.964015	1.317896	29.972000
2459256.012303	1.003771	0.001027	10.436812	15.487927	1.314815	29.976000
2459256.013826	1.005629	0.001027	9.775714	15.130176	1.311807	29.976000
2459256.015346	1.002677	0.001027	10.432095	15.533903	1.308859	29.972000
2459256.016944	1.001516	0.001023	10.468710	15.025973	1.305825	29.980000
2459256.018469	0.998773	0.001023	11.110725	14.692049	1.302982	29.976000
2459256.019990	1.002704	0.001023	10.999907	15.104235	1.300212	29.976000
2459256.021504	1.005193	0.001023	10.420857	15.062315	1.297514	29.972000
2459256.023035	1.000063	0.001018	10.134475	15.112080	1.294837	29.976000
2459256.024556	1.001459	0.001018	9.840929	15.220913	1.292233	29.976000
2459256.026074	0.998275	0.001023	11.090439	15.580425	1.289694	29.960000
2459256.027599	1.003281	0.001023	10.799616	15.742586	1.287194	29.972000
2459256.029114	1.000165	0.001023	11.103671	15.298025	1.284767	29.972000
2459256.030637	1.001196	0.001023	10.853054	15.637910	1.282381	29.976000
2459256.032165	1.001881	0.001023	10.940077	15.827822	1.280040	29.976000
