#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	Width_T1	Sky/Pixel_T1	AIRMASS	EXPTIME
2459255.981114	1.004203	0.001137	13.505721	60.771906	1.390116	29.972000
2459255.982638	1.006836	0.001119	11.205490	57.685400	1.385799	29.976000
2459255.984156	1.002324	0.001119	11.949108	57.376047	1.381559	29.976000
2459255.985669	1.003255	0.001113	11.198235	57.175889	1.377410	29.976000
2459255.987186	1.006294	0.001113	10.929898	56.863923	1.373305	29.976000
2459255.988706	1.005452	0.001113	11.050985	52.781396	1.369279	29.972000
2459255.990224	1.002248	0.001119	12.562609	54.349626	1.365303	29.976000
2459255.991742	1.002801	0.001107	10.331586	52.542688	1.361406	29.976000
2459255.993265	1.000145	0.001107	10.583098	53.029574	1.357556	29.976000
2459255.994803	1.000993	0.001107	10.437818	52.629150	1.353741	29.976000
2459255.996333	1.000216	0.001101	10.347801	51.640464	1.350009	29.976000
2459255.997853	1.001128	0.001107	10.492352	50.589774	1.346373	29.976000
2459255.999369	1.005222	0.001107	10.210838	51.191304	1.342801	29.976000
2459256.000897	1.006011	0.001107	10.311461	50.936459	1.339260	29.976000
2459256.002413	1.003861	0.001107	11.147016	52.512112	1.335814	29.976000
2459256.003939	1.000357	0.001107	10.918708	52.295404	1.332403	29.972000
2459256.005455	1.005805	0.001107	10.157251	52.245084	1.329076	29.976000
2459256.006982	1.003243	0.001107	10.209531	52.551275	1.325801	29.976000
2459256.008502	1.005505	0.001101	9.949286	51.813676	1.322583	29.976000
2459256.010009	1.003538	0.001101	10.290189	52.477052	1.319451	30.004000
2459256.011538	1.002789	0.001101	9.535070	50.580259	1.316344	29.976000
2459256.013065	1.000433	0.001101	10.480809	51.728233	1.313300	29.976000
2459256.014582	1.004180	0.001101	9.704784	51.015191	1.310331	29.976000
2459256.016105	1.002689	0.001096	9.670557	51.113771	1.307408	29.969000
2459256.017708	1.003708	0.001101	9.919321	51.056779	1.304393	29.976000
2459256.019231	1.002330	0.001096	9.938275	50.787947	1.301590	29.972000
2459256.020744	1.003090	0.001101	10.459428	51.578100	1.298859	29.972000
