BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9338.006101, 0.999246, 0.001172, 1.017,  201.
   9338.007462, 1.000738, 0.001175, 1.017,  203.
   9338.009370, 0.998474, 0.001176, 1.017,  203.
   9338.010466, 1.001613, 0.001171, 1.018,  203.
   9338.011563, 0.998251, 0.001164, 1.018,  209.
   9338.012658, 1.002253, 0.001191, 1.018,  211.
   9338.013755, 0.999768, 0.001167, 1.019,  213.
   9338.014852, 1.000439, 0.001166, 1.019,  217.
   9338.015950, 0.999031, 0.001161, 1.019,  219.
   9338.017046, 0.999488, 0.001164, 1.019,  220.
   9338.018144, 1.000487, 0.001167, 1.020,  220.
   9338.019240, 1.000571, 0.001185, 1.020,  225.
   9338.020337, 1.001321, 0.001168, 1.020,  228.
   9338.021433, 0.997244, 0.001191, 1.021,  229.
   9338.022530, 0.999123, 0.001193, 1.021,  230.
   9338.024724, 1.001151, 0.001168, 1.022,  232.
   9338.025819, 1.002762, 0.001171, 1.022,  231.
   9338.026917, 0.999703, 0.001168, 1.022,  231.
   9338.028012, 1.000955, 0.001165, 1.023,  235.
   9338.029113, 1.000471, 0.001171, 1.023,  237.
   9338.031307, 0.999821, 0.001188, 1.024,  236.
   9338.032403, 0.999060, 0.001178, 1.024,  234.
   9338.033501, 1.000976, 0.001183, 1.025,  233.
   9338.034595, 0.998974, 0.001179, 1.025,  231.
   9338.035693, 0.999871, 0.001178, 1.025,  231.
   9338.036789, 1.000587, 0.001169, 1.026,  234.
   9338.037887, 1.000518, 0.001169, 1.026,  231.
   9338.038986, 0.998750, 0.001194, 1.026,  230.
   9338.040085, 0.999350, 0.001173, 1.027,  230.
   9338.041185, 1.001853, 0.001172, 1.027,  230.
   9338.042282, 1.002398, 0.001173, 1.028,  231.
   9338.043377, 0.999588, 0.001169, 1.028,  230.
   9338.044474, 0.999284, 0.001164, 1.028,  229.
   9338.045570, 1.001137, 0.001163, 1.029,  227.
   9338.046667, 1.000798, 0.001162, 1.029,  226.
   9338.047762, 1.001276, 0.001161, 1.030,  225.
   9338.048858, 0.999367, 0.001163, 1.030,  225.
   9338.049952, 0.999201, 0.001171, 1.031,  227.
   9338.051049, 0.999367, 0.001167, 1.031,  227.
   9338.052145, 1.000226, 0.001169, 1.031,  227.
   9338.053243, 0.999496, 0.001174, 1.032,  228.
   9338.054340, 1.000265, 0.001177, 1.032,  228.
   9338.055435, 0.998720, 0.001173, 1.033,  229.
   9338.056530, 0.998227, 0.001165, 1.033,  230.
   9338.057628, 1.000296, 0.001167, 1.034,  228.
   9338.058725, 0.999786, 0.001168, 1.034,  226.
   9338.059823, 0.999390, 0.001164, 1.035,  224.
   9338.060917, 0.999679, 0.001161, 1.035,  222.
   9338.062014, 0.999447, 0.001161, 1.036,  219.
   9338.063111, 0.999700, 0.001160, 1.036,  215.
   9338.064210, 1.000507, 0.001164, 1.037,  216.
   9338.065306, 1.000264, 0.001169, 1.037,  217.
   9338.066403, 1.001733, 0.001167, 1.038,  217.
   9338.067499, 0.999748, 0.001178, 1.038,  218.
   9338.068596, 1.000898, 0.001170, 1.039,  220.
   9338.069693, 1.000755, 0.001168, 1.039,  218.
   9338.070790, 0.999869, 0.001170, 1.040,  218.
