BJD,RV,e_RV,Tel,f_RV
2207.8185000001,6671.1115406,8.2026544,CHIRON,0
2210.8275700002,6650.4717393,9.5539667,CHIRON,0
2212.8057100000,6624.8180767,8.6976413,CHIRON,0
2220.8283299999,6649.2153563,9.8508189,CHIRON,0
2224.8296699999,6680.0871621,7.6782340,CHIRON,0
2232.6768100001,6654.9968306,10.4870027,CHIRON,0
2238.7438800000,6651.4815023,9.2953621,CHIRON,0
2240.7558400002,6641.1877139,7.7304332,CHIRON,0
2243.7001100001,6688.1519093,7.0302132,CHIRON,0
2246.7473499998,6652.7655992,8.1761607,CHIRON,0
2250.7400400001,6647.0136358,9.6212721,CHIRON,0
2252.7188700000,6673.7113062,10.6091775,CHIRON,0
2253.7203799998,6690.4070074,7.8651698,CHIRON,0
2254.7474500001,6661.9460031,6.9006237,CHIRON,0
2255.7006200003,6648.1459150,9.4282062,CHIRON,0
1911.72374,8106.2,6.3,FEROS,0
1920.62204,8056.3,6.1,FEROS,0
1924.57801,8136.1,6.6,FEROS,0
2188.78999,8152.8,6.8,FEROS,0
2190.76184,8126.3,6.0,FEROS,0
2192.76128,8116.8,9.0,FEROS,0
2194.74430,8107.3,6.6,FEROS,0
2195.76595,8108.6,6.4,FEROS,0
2196.70590,8098.3,5.9,FEROS,0
2206.77509,8129.4,6.2,FEROS,0
2212.71237,8080.7,7.0,FEROS,0
2214.77757,8137.4,7.3,FEROS,0
2217.73784,8135.5,6.9,FEROS,0
2220.84900,8112.6,7.0,FEROS,0
2226.762805,8155.81,2.10,HARPS,0
2230.798279,8099.73,2.46,HARPS,0
2236.721230,8148.55,3.74,HARPS,0
2237.738282,8128.25,3.42,HARPS,0
2239.628780,8115.74,2.11,HARPS,0
2243.727714,8151.02,1.86,HARPS,0
2246.723274,8132.01,2.50,HARPS,0
2251.726865,8132.02,1.94,HARPS,0
2252.729261,8136.16,2.37,HARPS,0
2255.684397,8128.81,2.05,HARPS,0
2259.722980,8116.77,2.14,HARPS,0
2261.780234,8132.85,4.67,HARPS,0
2266.671034,8099.74,2.77,HARPS,0
2278.660823,8128.31,2.67,HARPS,0
2282.759174,8113.21,31.50,HARPS,1
2296.686053,8103.65,2.74,HARPS,0
2291.662808,8129.50,1.72,HARPS,0
2291.781561,8121.97,2.46,HARPS,0
2294.581135,8086.14,3.29,HARPS,0
2295.668144,8088.66,1.84,HARPS,0
2295.771282,8085.15,2.60,HARPS,0
2296.754306,8106.00,1.93,HARPS,0
2297.682295,8125.91,1.89,HARPS,0
2297.765977,8125.42,1.73,HARPS,0
2358.496526,8087.55,1.66,HARPS,0
2358.601790,8089.54,2.38,HARPS,0
2359.495659,8102.05,1.75,HARPS,0
2359.592451,8098.22,2.16,HARPS,0
2360.476170,8107.76,1.83,HARPS,0
2360.565046,8107.20,2.08,HARPS,0
2361.516541,8123.38,1.87,HARPS,0
2361.572662,8126.81,2.16,HARPS,0
2368.480158,8085.89,1.91,HARPS,0
2368.549786,8088.56,2.14,HARPS,0
2369.477343,8092.55,1.70,HARPS,0
2369.566148,8087.50,1.78,HARPS,0
2370.486575,8093.24,3.26,HARPS,0
2370.571550,8113.56,2.87,HARPS,0
2371.478262,8118.41,1.70,HARPS,0
2371.550679,8121.49,1.93,HARPS,0
2372.571612,8119.61,1.96,HARPS,0
