star_id,pl_id,hostname,pl_name,pl_letter,rv_flag,tran_flag,ttv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,disposition,reference,notes
0,0,WASP-47,WASP-47 e,e,1,1,0,0.7895933,0.0000044,-0.0000044,1.808,0.026,-0.026,6.77,0.57,-0.57,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2022AJ....163..197B/abstract,
0,1,WASP-47,WASP-47 b,b,1,1,1,4.1591492,0.0000006,-0.0000006,12.64,0.15,-0.15,363.6,7.3,-7.3,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2022AJ....163..197B/abstract,
0,2,WASP-47,WASP-47 d,d,1,1,1,9.03055,0.00008,-0.00008,3.567,0.045,-0.045,14.2,1.3,-1.3,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2022AJ....163..197B/abstract,
0,3,WASP-47,WASP-47 c,c,1,0,0,588.8,2,-2,,,,,,,,398.9,9.1,-9.1,confirmed,https://ui.adsabs.harvard.edu/abs/2022AJ....163..197B/abstract,
1,0,TOI-5143,TOI-5143.02,02,,1,,2.385167883,0.00019530013,-0.00019530013,2.85748766,2.8526106,-2.8526106,,,,,,,,candidate,https://ui.adsabs.harvard.edu/abs/2021ApJS..254...39G/abstract,TOI
1,1,TOI-5143,TOI-5143.01,01,,1,,5.209233152,0.00040031056,-0.00040031056,11.47961363,1.9044112,-1.9044112,,,,,,,,candidate,https://ui.adsabs.harvard.edu/abs/2021ApJS..254...39G/abstract,TOI
2,0,Kepler-730,Kepler-730 c,c,0,1,0,2.85188338,,,1.569257302,0.1345077688,-0.1345077688,,,,,,,,validated,https://ui.adsabs.harvard.edu/abs/2019ApJ...870L..17C/abstract,
2,1,Kepler-730,Kepler-730 b,b,0,1,0,6.491682808,,,12.3298788,0.5268220944,-0.5604490365,,,,,,,,validated,https://ui.adsabs.harvard.edu/abs/2019ApJ...870L..17C/abstract,
3,0,WASP-132,WASP-132 c,c,0,1,0,1.011534,0.000005,-0.000005,1.85,0.1,-0.1,37.35,,,1,,,,validated,https://ui.adsabs.harvard.edu/abs/2022AJ....164...13H/abstract,
3,1,WASP-132,WASP-132 b,b,1,1,0,7.133514,0.000004,-0.000004,10.05,0.34,-0.34,130.3096467,9.534852198,-9.534852198,0,,,,confirmed,https://ui.adsabs.harvard.edu/abs/2022AJ....164...13H/abstract;https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract,Mass from Hellier et al. (2017)
